run_name,exact_mip,baseline_greedy,baseline_beam,baseline_random,best_model,best_objective_score
run_0128,90.46,93.34,90.90666666666667,90.46,exact_mip,90.46
run_0129,87.22,91.1,89.44,87.22,exact_mip,87.22
run_0130,62.29666666666667,63.21,63.21,62.29666666666667,exact_mip,62.29666666666667
run_0131,28.59,28.59,28.59,28.59,exact_mip,28.59
run_0132,56.51,59.01,58.19,56.51,exact_mip,56.51
run_0133,53.8,54.97,53.8,53.8,exact_mip,53.8
run_0134,77.4,81.19,77.4,77.4,exact_mip,77.4
run_0135,68.81,71.92,68.95,68.81,exact_mip,68.81
run_0136,58.82,61.11,60.55,58.82,exact_mip,58.82
run_0137,92.11,96.67,93.63,92.11,exact_mip,92.11
run_0138,67.45,68.97,67.45,67.45,exact_mip,67.45
run_0139,34.34,34.34,34.34,34.34,exact_mip,34.34
run_0140,62.92,62.92,62.92,62.92,exact_mip,62.92
run_0141,93.8,93.96333333333334,93.96333333333334,93.87,exact_mip,93.8
run_0142,55.38,57.04,55.38,55.38,exact_mip,55.38
run_0143,80.19,84.07000000000001,84.07000000000001,80.19,exact_mip,80.19
run_0144,60.69,60.69,60.69,60.69,exact_mip,60.69
run_0145,50.98,52.5,50.98,50.98,exact_mip,50.98
run_0146,29.65,29.65,29.65,29.65,exact_mip,29.65
run_0147,81.37,84.83,83.45,81.51,exact_mip,81.37
run_0148,96.5,100.03,98.37,96.5,exact_mip,96.5
run_0149,63.97,65.28,64.11,63.97,exact_mip,63.97
run_0150,79.88,81.82,81.05,79.88,exact_mip,79.88
run_0151,76.93,82.12,81.56,76.93,exact_mip,76.93
run_0152,69.92,69.92,69.92,69.92,exact_mip,69.92
run_0153,88.69,90.63,90.07,88.69,exact_mip,88.69
run_0154,66.38,68.86,67.76,66.38,exact_mip,66.38
run_0155,27.9,27.9,27.9,27.9,exact_mip,27.9
run_0156,72.38,74.65,74.65,72.38,exact_mip,72.38
run_0157,63.49,66.53,63.49,63.49,exact_mip,63.49
run_0158,33.15,33.15,33.15,33.15,exact_mip,33.15
run_0159,21.59,21.59,21.59,21.59,exact_mip,21.59
run_0160,42.79,44.8,43.56,42.79,exact_mip,42.79
run_0161,59.7,61.01,59.7,59.7,exact_mip,59.7
run_0162,71.52,73.62333333333333,71.91666666666667,71.52,exact_mip,71.52
run_0163,78.72,79.89,78.79,78.72,exact_mip,78.72
run_0164,84.17,84.31,84.17,84.17,exact_mip,84.17
run_0165,72.94,72.94,72.94,72.94,exact_mip,72.94
run_0166,26.84,26.84,26.84,26.84,exact_mip,26.84
run_0167,40.9,40.9,40.9,40.9,exact_mip,40.9
run_0168,67.68,74.06,72.94,67.68,exact_mip,67.68
run_0169,20.67,20.67,20.67,20.67,exact_mip,20.67
run_0170,72.63,74.29,73.73,72.63,exact_mip,72.63
run_0171,74.22,74.43,74.22,74.22,exact_mip,74.22
run_0172,75.06,76.3,75.13,75.06,exact_mip,75.06
run_0173,66.57000000000001,70.31,70.31,66.57000000000001,exact_mip,66.57000000000001
run_0174,45.32,46.63,46.63,45.32,exact_mip,45.32
run_0175,29.42,29.42,29.42,29.42,exact_mip,29.42
run_0176,58.15,58.15,58.15,58.15,exact_mip,58.15
run_0177,25.09,25.09,25.09,25.09,exact_mip,25.09
run_0178,75.51,76.89,75.51,75.51,exact_mip,75.51
run_0179,71.57,73.16,71.71,71.57,exact_mip,71.57
run_0180,77.68,78.64,77.68,77.68,exact_mip,77.68
run_0181,29.65,29.65,29.65,29.65,exact_mip,29.65
run_0182,18.92,18.92,18.92,18.92,exact_mip,18.92
run_0183,29.65,29.65,29.65,29.65,exact_mip,29.65
run_0184,27.9,27.9,27.9,27.9,exact_mip,27.9
run_0185,68.58,70.99,69.21,68.58,exact_mip,68.58
run_0186,69.59,71.53,71.39,69.59,exact_mip,69.59
run_0187,84.32,85.56,85.49,84.32,exact_mip,84.32
run_0188,51.09,51.09,51.09,51.09,exact_mip,51.09
run_0189,56.85,56.85,56.85,56.85,exact_mip,56.85
run_0190,74.8,77.3,75.15,74.8,exact_mip,74.8
run_0191,88.56,90.76,88.56,88.56,exact_mip,88.56
run_0192,70.6,71.98,70.6,70.6,exact_mip,70.6
run_0193,76.33,78.34,77.92,76.33,exact_mip,76.33
run_0194,46.2,46.48,46.48,46.2,exact_mip,46.2
run_0195,67.42,70.39,68.66,67.84,exact_mip,67.42
run_0196,41.98,41.98,41.98,41.98,exact_mip,41.98
run_0197,90.39,94.36,94.36,90.95,exact_mip,90.39
run_0198,64.21,65.73,64.21,64.21,exact_mip,64.21
run_0199,77.37,80.41,80.41,77.37,exact_mip,77.37
run_0200,89.23,93.18,92.9,89.65,exact_mip,89.23
run_0201,84.46000000000001,89.16,85.58,85.02,exact_mip,84.46000000000001
run_0202,85.22,87.79,85.57,85.22,exact_mip,85.22
run_0203,20.67,20.67,20.67,20.67,exact_mip,20.67
run_0204,50.2,52.14,52.14,50.2,exact_mip,50.2
run_0205,69.5,71.58,69.92,69.5,exact_mip,69.5
run_0206,85.26,85.82000000000001,85.26,85.26,exact_mip,85.26
run_0207,75.56,77.43,76.61,75.56,exact_mip,75.56
run_0208,41.84,41.84,41.84,41.84,exact_mip,41.84
run_0209,31.17,31.17,31.17,31.17,exact_mip,31.17
run_0210,80.85,82.16,80.85,80.85,exact_mip,80.85
run_0211,55.65,55.65,55.65,55.65,exact_mip,55.65
run_0212,45.95,47.68,46.37,45.95,exact_mip,45.95
run_0213,75.43,78.26,76.95,75.43,exact_mip,75.43
run_0214,44.09,44.09,44.09,44.09,exact_mip,44.09
run_0215,58.41,58.69,58.55,58.41,exact_mip,58.41
run_0216,22.42,22.42,22.42,22.42,exact_mip,22.42
run_0217,69.1,70.62,69.1,69.1,exact_mip,69.1
run_0218,34.9,34.9,34.9,34.9,exact_mip,34.9
run_0219,59.98,62.76,60.82,59.98,exact_mip,59.98
run_0220,72.64,74.72333333333333,72.64,72.64,exact_mip,72.64
run_0221,67.88,68.23,67.95,67.88,exact_mip,67.88
run_0222,75.68333333333334,79.07333333333334,75.87,75.68333333333334,exact_mip,75.68333333333334
run_0223,36.72,37.96,36.72,36.72,exact_mip,36.72
run_0224,67.44,67.44,67.44,67.44,exact_mip,67.44
run_0225,76.75,81.05,80.91,76.82000000000001,exact_mip,76.75
run_0226,36.73,37.29,36.73,36.73,exact_mip,36.73
run_0227,17.17,17.17,17.17,17.17,exact_mip,17.17
run_0228,80.81,84.53,82.05,80.81,exact_mip,80.81
run_0229,59.01,59.01,59.01,59.01,exact_mip,59.01
run_0230,73.69,73.69,73.69,73.69,exact_mip,73.69
run_0231,80.38,83.07,81.41,80.38,exact_mip,80.38
run_0232,61.22,62.53,61.36,61.22,exact_mip,61.22
run_0233,73.54,76.72,75.48,73.54,exact_mip,73.54
run_0234,51.2,53.14,53.14,51.2,exact_mip,51.2
run_0235,49.95,51.05,49.95,49.95,exact_mip,49.95
run_0236,28.59,28.59,28.59,28.59,exact_mip,28.59
run_0237,55.54,57.27,55.61,55.54,exact_mip,55.54
run_0238,33.22,34.46,33.22,33.22,exact_mip,33.22
run_0239,56.21,57.94,56.21,56.21,exact_mip,56.21
run_0240,72.31,73.83,72.31,72.31,exact_mip,72.31
run_0241,86.33,89.21,88.39,86.33,exact_mip,86.33
run_0242,27.34,27.34,27.34,27.34,exact_mip,27.34
run_0243,53.14,55.29,55.22,53.14,exact_mip,53.14
run_0244,82.84,86.44,83.12,82.84,exact_mip,82.84
run_0245,67.89,68.59,68.59,67.89,exact_mip,67.89
run_0246,75.82,77.2,76.03,75.82,exact_mip,75.82
run_0247,53.0,54.193333333333335,53.0,53.0,exact_mip,53.0
run_0248,51.95,53.89,53.89,51.95,exact_mip,51.95
run_0249,80.7,82.22,80.7,80.7,exact_mip,80.7
run_0250,62.63,64.08,62.63,62.63,exact_mip,62.63
run_0251,104.63,108.3,107.06,104.7,exact_mip,104.63
run_0252,59.6,64.16,59.6,59.6,exact_mip,59.6
run_0253,30.84,30.84,30.84,30.84,exact_mip,30.84
run_0254,42.59,44.95,42.59,42.59,exact_mip,42.59
run_0255,57.66,57.87,57.66,57.66,exact_mip,57.66
run_0256,25.09,25.09,25.09,25.09,exact_mip,25.09
run_0257,41.4,42.57,41.75,41.4,exact_mip,41.4
run_0258,46.75,49.93,47.17,46.75,exact_mip,46.75
run_0259,37.21,38.94,37.21,37.21,exact_mip,37.21
run_0260,56.59,59.0,56.87,56.59,exact_mip,56.59
run_0261,82.88,86.97,84.61,82.88,exact_mip,82.88
run_0262,92.48666666666666,97.77,94.98666666666666,92.48666666666666,exact_mip,92.48666666666666
run_0263,34.59,34.59,34.59,34.59,exact_mip,34.59
run_0264,26.84,26.84,26.84,26.84,exact_mip,26.84
run_0265,53.7,55.43,54.12,53.7,exact_mip,53.7
run_0266,32.09,32.09,32.09,32.09,exact_mip,32.09
run_0267,25.09,25.09,25.09,25.09,exact_mip,25.09
run_0268,82.42,87.84333333333333,86.53333333333333,83.4,exact_mip,82.42
run_0269,69.94,74.1,74.1,69.94,exact_mip,69.94
run_0270,43.73,43.73,43.73,43.73,exact_mip,43.73
run_0271,56.47,57.99,56.47,56.47,exact_mip,56.47
run_0272,33.99,34.06,33.99,33.99,exact_mip,33.99
run_0273,24.17,24.17,24.17,24.17,exact_mip,24.17
run_0274,65.74,66.7,66.7,65.74,exact_mip,65.74
run_0275,44.2,46.14,44.2,44.2,exact_mip,44.2
run_0276,90.89666666666666,96.72,93.77,91.90333333333334,exact_mip,90.89666666666666
run_0277,48.95,49.98,48.95,48.95,exact_mip,48.95
run_0278,26.84,26.84,26.84,26.84,exact_mip,26.84
run_0279,28.59,28.59,28.59,28.59,exact_mip,28.59
run_0280,54.25,55.84,54.25,54.25,exact_mip,54.25
run_0281,92.10666666666667,94.11666666666666,93.32333333333334,92.10666666666667,exact_mip,92.10666666666667
run_0282,22.42,22.42,22.42,22.42,exact_mip,22.42
run_0283,94.01,96.65,96.65,94.01,exact_mip,94.01
run_0284,97.60666666666667,99.26666666666667,98.16666666666667,97.60666666666667,exact_mip,97.60666666666667
run_0285,28.01,29.18,28.01,28.01,exact_mip,28.01
run_0286,81.35,82.87,81.42,81.35,exact_mip,81.35
run_0287,56.7,58.08,56.7,56.7,exact_mip,56.7
run_0288,51.94,51.94,51.94,51.94,exact_mip,51.94
run_0289,53.82,55.69,54.87,53.82,exact_mip,53.82
run_0290,61.44,61.44,61.44,61.44,exact_mip,61.44
run_0291,66.35,66.35,66.35,66.35,exact_mip,66.35
run_0292,73.26,76.25,76.25,73.26,exact_mip,73.26
run_0293,60.0,61.31,60.0,60.0,exact_mip,60.0
run_0294,47.07,49.76,48.38,47.07,exact_mip,47.07
run_0295,77.07000000000001,78.59,78.59,77.07000000000001,exact_mip,77.07000000000001
run_0296,26.84,26.84,26.84,26.84,exact_mip,26.84
run_0297,34.34,34.34,34.34,34.34,exact_mip,34.34
run_0298,84.38,86.51,84.38,84.38,exact_mip,84.38
run_0299,23.34,23.34,23.34,23.34,exact_mip,23.34
run_0300,64.7,65.8,64.7,64.7,exact_mip,64.7
run_0301,78.89,81.04,80.97,78.89,exact_mip,78.89
run_0302,71.94,71.94,71.94,71.94,exact_mip,71.94
run_0303,66.47,70.14,68.83,66.47,exact_mip,66.47
run_0304,40.84,40.84,40.84,40.84,exact_mip,40.84
